test,status,message,review_bucket
tests.test_core::test_unlock_supplies_discovered_and_functional,FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a81bce520>(<Lua table at 0x564a805896b0>, <Lua table at 0x564a8194a610>, <Lua table at 0x564a81fc60b0>, 'supply', <Lua table at 0x564a82b93710>)
 +    where <Lua function at 0x564a81bce520> = <Lua table at 0x564a8194a0a0>.act
 +    and   <Lua table at 0x564a82b93710> = table(<lupa.lua55.LuaRuntime object at 0x7f4c11285260>, token='1:1', id=('drones'))
 +      where '1:1' = <Lua table at 0x564a82b93530>.token
 +        where <Lua table at 0x564a82b93530> = <Lua table at 0x564a805896b0>.supply",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_profile_sanitizes_nested_and_legacy[nan],FAILED,"assert (0 == 0 and 7 == 6)
 +  where 0 = <Lua table at 0x564a82994790>.alloy
 +  and   7 = <Lua table at 0x564a82994790>.schema",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_profile_sanitizes_nested_and_legacy[inf],FAILED,"assert (0 == 0 and 7 == 6)
 +  where 0 = <Lua table at 0x564a806c0ea0>.alloy
 +  and   7 = <Lua table at 0x564a806c0ea0>.schema",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_profile_sanitizes_nested_and_legacy[-50],FAILED,"assert (0 == 0 and 7 == 6)
 +  where 0 = <Lua table at 0x564a82bef380>.alloy
 +  and   7 = <Lua table at 0x564a82bef380>.schema",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_profile_sanitizes_nested_and_legacy[oops],FAILED,"assert (0 == 0 and 7 == 6)
 +  where 0 = <Lua table at 0x564a8195f060>.alloy
 +  and   7 = <Lua table at 0x564a8195f060>.schema",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_export_contains_current_sources_and_boot,FAILED,"AssertionError: Art.lua
assert '-- Sprite rendering: one shared embedded EditableImage; optional uploaded atlas; safe GUI-raster fallback.\nlocal Art...ainer\nend\nfunction Art.close()\n    if imageObject then imageObject:Destroy();imageObject=nil end\nend\nreturn Art\n' in ['-- Standalone ReplicatedFirst UI. NO require(), NO DataStore, NO wait for a server remote.\n-- The screen remains vi...root:Destroy() end end\n  for _,f in ipairs(self.fxPool) do f:Destroy() end\n end\n return self\nend\nreturn B\n', ...]
 +  where '-- Sprite rendering: one shared embedded EditableImage; optional uploaded atlas; safe GUI-raster fallback.\nlocal Art...ainer\nend\nfunction Art.close()\n    if imageObject then imageObject:Destroy();imageObject=nil end\nend\nreturn Art\n' = read_text()
 +    where read_text = PosixPath('/home/user/DustBound/src/Art.lua').read_text",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_legacy_bonuses_migrate_without_double_application,FAILED,"assert (1080 == 1080 and 30 == 33.6 ± 3.4e-05
 +  where 1080 = <Lua table at 0x564a82bf8d90>.maxHull
  
  comparison failed
  Obtained: 30
  Expected: 33.6 ± 3.4e-05)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_mitigation_regen_and_start_shield_durations,FAILED,"assert None == 14.4 ± 1.4e-05
  
  comparison failed
  Obtained: None
  Expected: 14.4 ± 1.4e-05",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_fifth_shot_and_ballistic_velocity,FAILED,"assert 0.29807818114737045 == 0.47932871168002283 ± 4.8e-07
  
  comparison failed
  Obtained: 0.29807818114737045
  Expected: 0.47932871168002283 ± 4.8e-07",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_crystals_cores_rewards_and_expedition_multipliers,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a829d9df0>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_burn_arc_bonus_and_aux_damage,FAILED,"assert 0 == 4
 +  where 0 = sum(<generator object test_burn_arc_bonus_and_aux_damage.<locals>.<genexpr> at 0x7f4c1099e810>)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_reroll_unlock_pool_and_overclock_duration,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a82060790>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_core::test_no_investment_policy_is_not_guaranteed_victory,FAILED,"AssertionError: assert ('ended' == 'ended'
  
    ended and not True)
 +  where True = <Lua table at 0x564a81f9c880>.won
 +    where <Lua table at 0x564a81f9c880> = <Lua table at 0x564a81ee8c00>.result",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_demo::test_grid_has_short_axis_aligned_edges_and_cross_prerequisite_markers,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_demo::test_ready_jump_and_precise_resource_gap,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_demo::test_lobby_campaign_resumes_next_unfinished_node,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  星球远征 · 24 关
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_demo::test_mobile_codex_reduces_portrait_scroll_cost,FAILED,AttributeError: 'NoneType' object has no attribute 'SafeCanvas',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_performance::test_planner_retains_controls_and_scroll_position_while_values_update,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_performance::test_retained_allocation_button_uses_latest_state_not_captured_state,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_performance::test_idle_render_frames_do_not_rebuild_or_animate_hidden_battlefield[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_performance::test_packet_burst_coalesces_hud_paints_until_next_render,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_performance::test_f6_diagnostics_toggle_does_not_pause_game,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_performance::test_settings_diagnostics_refresh_does_not_rebuild_settings,FAILED,"AssertionError: SettingsTab_advanced
assert (None is not None)",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_recommendation_skips_capped_and_full_hull_repairs,FAILED,"AssertionError: assert ('cargo' == 'regen'
  
  - regen
  + cargo)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_recommendation_no_affordable_upgrade_still_explains_gap,FAILED,"assert (not True)
 +  where True = <Lua table at 0x564a823daad0>.can
 +    where <Lua table at 0x564a823daad0> = <Lua table at 0x564a803e19c0>.info",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_recommendation_all_capped_does_not_require_another_purchase,FAILED,"assert (not True)
 +  where True = <Lua table at 0x564a82887c50>.can
 +    where <Lua table at 0x564a82887c50> = <Lua table at 0x564a82887e20>.info",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_supply_default_avoids_full_hull_repair,FAILED,"AssertionError: assert 'repairNet' == 'drill'
  
  - drill
  + repairNet",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_supply_heal_preview_respects_tech_and_missing_hull,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:70: attempt to index a nil value (local 'd')
stack traceback:
	[string ""<python>""]:70: in function <[string ""<python>""]:67>",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_last_tutorial_supply_does_not_recommend_combat_buff,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a7ff38580>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_wave_ten_supply_explains_overtime_only_use,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a7fbc4980>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_buffs_identify_waiting_and_active_phase,FAILED,AssertionError: assert ('钻机加速 30s·待机' in '无临时增益 · 补给可强化下一阶段'),待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_run_ledger_tracks_purchases_rerolls_airdrops_and_resets,FAILED,"AssertionError: assert False
 +  where False = <Lua function at 0x564a8011c1f0>(<Lua table at 0x564a8077c8e0>, <Lua table at 0x564a81ea3f30>, <Lua table at 0x564a809750f0>, 'supply', <Lua table at 0x564a80e35140>)
 +    where <Lua function at 0x564a8011c1f0> = <Lua table at 0x564a8012fd20>.act
 +    and   <Lua table at 0x564a80e35140> = table(<lupa.lua55.LuaRuntime object at 0x7f4c1129d9e0>, token='1:2', id=('ore'))
 +      where '1:2' = <Lua table at 0x564a80e35090>.token
 +        where <Lua table at 0x564a80e35090> = <Lua table at 0x564a8077c8e0>.supply",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_salvage_ledger_tracks_actual_reward,FAILED,"assert (1 == 1 and 0 == 8)
 +  where 1 = <Lua table at 0x564a82b852e0>.kills
 +  and   0 = <Lua table at 0x564a81becfe0>.salvaged
 +    where <Lua table at 0x564a81becfe0> = <Lua table at 0x564a82b852e0>.ledger",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_wave_reports_preserved_and_lost_cargo_not_income,FAILED,"assert (0 > 0)
 +  where 0 = <Lua table at 0x564a80cf9c50>.lostCargo
 +    where <Lua table at 0x564a80cf9c50> = <Lua table at 0x564a81964b40>.ledger",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_five_second_warning_once_and_paused_timer_frozen,FAILED,assert 0 == 1,待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_effective_hull_damage_excludes_overkill,FAILED,"assert (None == 3)
 +  where None = <Lua table at 0x564a80e35cc0>.waveTaken",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_low_hull_warning_does_not_repeat_every_tick,FAILED,"assert 0 == 1
 +  where 0 = sum(<generator object test_low_hull_warning_does_not_repeat_every_tick.<locals>.<genexpr> at 0x7f4c1090c1e0>)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_failure_settlement_explains_loss_retention,FAILED,"AssertionError: assert '35%' in '节点结算：首通 180% / 重打 80% 基准奖励，另计永久研究加成。\n精炼提高研究数据；失败按推进进度保留部分材料；核心仅胜利获得。剩余矿料不直接兑换。'
 +  where '节点结算：首通 180% / 重打 80% 基准奖励，另计永久研究加成。\n精炼提高研究数据；失败按推进进度保留部分材料；核心仅胜利获得。剩余矿料不直接兑换。' = <Lua function at 0x564a7fc1fee0>(<Lua table at 0x564a7fabb6c0>, <Lua table at 0x564a80632680>, <Lua table at 0x564a7ff83920>)
 +    where <Lua function at 0x564a7fc1fee0> = <Lua table at 0x564a82131610>.settlement
 +      where <Lua table at 0x564a82131610> = guide(<lupa.lua55.LuaRuntime object at 0x7f4c112720c0>)
 +    and   <Lua table at 0x564a7fabb6c0> = <Lua function at 0x564a805e9230>(<Lua table at 0x564a7fa3de70>, <Lua table at 0x564a80632680>, <Lua table at 0x564a7ff83920>)
 +      where <Lua function at 0x564a805e9230> = <Lua table at 0x564a8090ce30>.snapshot",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_help_panel_opens_and_closes_without_starting_game[False],FAILED,"AssertionError: Help
assert (None is not None)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_help_panel_opens_and_closes_without_starting_game[True],FAILED,"AssertionError: Help
assert (None is not None)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_contextual_supply_is_selected_in_ui[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_contextual_supply_is_selected_in_ui[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_compact_upgrade_text_does_not_overlap_buy_button,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_combat_planner_does_not_claim_mining_income,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_failed_tutorial_retry_stays_in_tutorial,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_server_returns_specific_rejection_not_generic_error,FAILED,"AssertionError: assert '操作未生效：请检查状态、资源或解锁条件' == '耐久已满'
  
  - 耐久已满
  + 操作未生效：请检查状态、资源或解锁条件",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_polish::test_result_contains_ledger_and_debrief[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_result_contains_ledger_and_debrief[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_energy_allocation_highlight_tracks_authoritative_state,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_polish::test_workshop_exposes_existing_second_preset_slot,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 武器工坊
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_old_schema_five_keeps_existing_preferences_and_adds_safe_defaults,FAILED,"assert (7 == 6)
 +  where 7 = <Lua table at 0x564a8064e800>.schema",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_qol::test_settings_open_on_general_with_advanced_out_of_the_way[False],FAILED,AttributeError: 'NoneType' object has no attribute 'SafeCanvas',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_qol::test_settings_open_on_general_with_advanced_out_of_the_way[True],FAILED,AttributeError: 'NoneType' object has no attribute 'SafeCanvas',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_qol::test_reset_dialog_cancel_then_confirm_from_settings,FAILED,"AssertionError: ShowTips
assert (None is not None)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_qol::test_focus_loss_pauses_immediately_and_return_does_not_auto_resume,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_focus_loss_does_not_pause_by_default,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
